# dataset: GeoCSV 2.0
# field_unit: ISO_8601, degC, %, mbar, #, mm H2O, #, W/m^2
# field_type: datetime, float, float, float, float, float, float, float
# attribution: pt2050dashboard-dev.tacc.utexas.edu
# doi: https://doi.org/10.5065/d6v1236q
# doi_citation: https://citation.crosscite.org/?doi=10.5065/d6v1236q
# chords_version: latest
# chords_version_sha: 9301241
# delimiter: ,
# instrument_name: iotwx-esip-pr01
# sensor_id: esippr01
# creation_date: 2022-03-14 20:10:39 +0000
# data collection site: Universidad de Puerto Rico Recinto Universitario de Mayagüez - Edificio Luis A. Stefani UPRM
# data collection longitude: -67.13889
# data collection latitude: 18.21083
# data collection elevation: 0.0 meters
# Measurements in File: 380
# Units of Measure: milliseconds, degC, %, mbar, #, mm H2O, #, W/m^2
Time,Temperature,Humidity,Pressure,Volatile Organic Compound,Precipitation,windspeed,UV-A Radiation
2021-10-07T13:03:30Z,,0,,,,,
2021-10-07T13:03:40Z,,0,,,,,
2021-10-07T13:03:41Z,,0,,,,,
2021-10-07T13:04:05Z,,0,,,,,
2021-10-07T13:04:06Z,,0,,,,,
2021-10-07T13:04:15Z,,0,,,,,
2021-10-07T13:04:16Z,,0,,,,,
2021-10-07T13:04:31Z,,0,,,,,
2021-10-07T13:04:32Z,,0,,,,,
2021-10-07T13:04:42Z,,0,,,,,
2021-10-07T13:04:43Z,,0,,,,,
2021-10-07T13:05:08Z,,0,,,,,
2021-10-07T13:05:09Z,,0,,,,,
2021-10-07T13:05:31Z,,0,,,,,
2021-10-07T13:05:32Z,,0,,,,,
2021-10-07T13:05:47Z,,0,,,,,
2021-10-07T13:05:48Z,,0,,,,,
2021-10-07T13:06:12Z,,0,,,,,
2021-10-07T13:06:13Z,,0,,,,,
2021-10-07T13:06:25Z,,0,,,,,
2021-10-07T13:06:26Z,,0,,,,,
2021-10-07T13:06:35Z,,0,,,,,
2021-10-07T13:06:36Z,,0,,,,,
2021-10-07T13:06:47Z,,0,,,,,
2021-10-07T13:06:48Z,,0,,,,,
2021-10-07T13:07:01Z,,0,,,,,
2021-10-07T13:07:02Z,,0,,,,,
2021-10-07T13:07:14Z,,0,,,,,
2021-10-07T13:07:15Z,,0,,,,,
2021-10-07T13:07:33Z,,0,,,,,
2021-10-07T13:07:34Z,,0,,,,,
2021-10-07T13:07:45Z,,0,,,,,
2021-10-07T13:07:46Z,,0,,,,,
2021-10-07T13:07:58Z,,0,,,,,
2021-10-07T13:07:59Z,,0,,,,,
2021-10-07T13:08:15Z,,0,,,,,
